name|x|y
State St & Harrison St|41.87395806|-87.62773949
Wilton Ave & Diversey Pkwy|41.93250008|-87.65268082
Morgan St & 18th St|41.858086|-87.651073
Racine Ave & 18th St|41.85818061|-87.65648665
Wood St & North Ave|41.910329|-87.672516
Wood St & Division St|41.90332|-87.67273
Loomis St & Taylor St|41.869417|-87.660996
Sheffield Ave & Kingsbury St|41.90959193|-87.65349723
Aberdeen St & Jackson Blvd|41.87772613|-87.65478743
May St & Taylor St|41.8694821|-87.6554864
Orleans St & Elm St|41.902924|-87.637715
Fairbanks Ct & Grand Ave|41.89186|-87.62062
Michigan Ave & Pearson St|41.89766|-87.62351
McClurg Ct & Illinois St|41.89102|-87.6173
Larrabee St & North Ave|41.91021|-87.6435
Larrabee St & Menomonee St|41.91468|-87.64332
Noble St & Milwaukee Ave|41.90068|-87.6626
Ashland Ave & Augusta Blvd|41.899643|-87.6677
Franklin St & Chicago Ave|41.89680204|-87.63563839
Racine Ave & Congress Pkwy|41.87464|-87.65703
State St & Van Buren St|41.877181|-87.627844
Cannon Dr & Fullerton Ave|41.92675599|-87.63442878
Streeter Dr & Illinois St|41.891071|-87.6122
Franklin St & Jackson Blvd|41.87770796|-87.63532114
Dearborn St & Adams St|41.87935636|-87.62979104
Wabash Ave & Cermak Rd|41.85323876|-87.62533709
Michigan Ave & Washington St|41.88389277|-87.62464914
State St & Randolph St|41.8847302|-87.62773357
Michigan Ave & Congress Pkwy|41.8760656|-87.62443336
Wells St & Walton St|41.89993001|-87.63443007
State St & Kinzie St|41.88918|-87.6277
Larrabee St & Kingsbury St|41.897764|-87.642884
Dearborn St & Monroe St|41.88131982|-87.62952092
Clark St & Congress Pkwy|41.87593267|-87.63058454
Clark St & Randolph St|41.88457623|-87.63188991
Michigan Ave & Lake St|41.88605812|-87.62428934
Wells St & Erie St|41.893832|-87.634195
Ogden Ave & Chicago Ave|41.89636246|-87.65406127
Halsted St & James M Rochford St|41.865861|-87.646611
Desplaines St & Kinzie St|41.88871604|-87.64444785
Clinton St & Roosevelt Rd|41.86711778|-87.64108796
Ashland Ave & Armitage Ave|41.91785887|-87.668919
Wabash Ave & Roosevelt Rd|41.867173|-87.62595501
Dayton St & North Ave|41.91057803|-87.64942193
Wood St & Milwaukee Ave|41.907655|-87.672552
McCormick Place|41.85137517|-87.61883465
Clinton St & Lake St|41.88583274|-87.64138231
Sheffield Ave & Fullerton Ave|41.92560188|-87.65370804
Clinton St & Tilden St|41.875885|-87.640795
Damen Ave & Pierce Ave|41.90939601|-87.67769193
Morgan St & Lake St|41.88548331|-87.65230486
State St & 16th St|41.86012138|-87.62772919
Jefferson St & Monroe St|41.880422|-87.642746
Kingsbury St & Erie St|41.89384315|-87.64185116
Canal St & Jackson Blvd|41.87811421|-87.63997112
Lake Shore Dr & Monroe St|41.88105|-87.61697
Clinton St & Madison St|41.8815824|-87.64127743
Aberdeen St & Madison St|41.881487|-87.654752
Daley Center Plaza|41.884337|-87.630183
Green St & Milwaukee Ave|41.891733|-87.648727
Michigan Ave & Oak St|41.90096039|-87.62377664
Eckhart Park|41.89637337|-87.66098386
Racine Ave & Fullerton Ave|41.92556258|-87.65840426
May St & Randolph St|41.88397|-87.655688
Millennium Park|41.8810317|-87.62408432
Clinton St & Washington Blvd|41.88338|-87.64117
Carpenter St & Huron St|41.894556|-87.653449
Sheffield Ave & Willow St|41.913688|-87.652855
Lincoln Ave & Armitage Ave|41.918273|-87.638116
Museum Campus|41.865212|-87.617759
LaSalle St & Washington St|41.882664|-87.63253
Lake Shore Dr & Ohio St|41.89257|-87.614492
Orleans St & Merchandise Mart Plaza|41.888243|-87.63639
State St & Pearson St|41.897448|-87.628722
Halsted St & Polk St|41.87184|-87.64664
900 W Harrison|41.8745|-87.6498
State St & Erie St|41.893975|-87.628623
Sedgwick St & Huron St|41.894666|-87.638437
Green St & Randolph St|41.884078|-87.648684
Bissell St & Armitage Ave|41.91844|-87.65222
Sheffield Ave & Addison St|41.94688|-87.65445
Sheffield Ave & Wellington Ave|41.936253|-87.653566
Western Ave & Winnebago Ave|41.915533|-87.687051
Wilton Ave & Belmont Ave|41.94018|-87.65304
Sedgwick St & North Ave|41.910579|-87.638618
Ashland Ave & Lake St|41.88541|-87.66732
Wentworth Ave & Archer Ave|41.854564|-87.631937
Blackstone Ave & Hyde Park Blvd|41.802562|-87.590368
Congress Pkwy & Ogden Ave|41.87501|-87.67328
California Ave & Milwaukee Ave|41.922695|-87.697153
Damen Ave & Cullerton St|41.855048|-87.675726
Clark St & North Ave|41.911791|-87.631841
Lincoln Ave & Fullerton Ave|41.925905|-87.64926
Damen Ave & Chicago Ave|41.895769|-87.67722
Blue Island Ave & 18th St|41.857556|-87.661535
Damen Ave & Division St|41.90331|-87.67695
Lincoln Ave & Belmont Ave|41.939365|-87.668385
Wentworth Ave & 24th St|41.849237|-87.631715
Peoria St & Jackson Blvd|41.877749|-87.649633
Halsted St & 21st St|41.85378|-87.64665
Racine Ave & 13th St|41.865054|-87.656959
Morgan Ave & 14th Pl|41.862378|-87.651062
Clybourn Ave & Division St|41.904509|-87.6405
Dearborn Pkwy & Delaware Pl|41.899007|-87.629928
Clark St & Lincoln Ave|41.915689|-87.6346
Sedgwick St & Webster Ave|41.92197|-87.63854
Larrabee St & Webster Ave|41.92175|-87.64401
Loomis St & Jackson Blvd|41.877945|-87.662007
Indiana Ave & 26th St|41.8457|-87.62248
State St & 33rd St|41.834734|-87.625813
Calumet Ave & 33rd St|41.8349|-87.61793
Fort Dearborn Dr & 31st St|41.838556|-87.608218
Lincoln Ave & Diversey Pkwy|41.932225|-87.658617
Southport Ave & Wellington Ave|41.93584|-87.6637
Southport Ave & Belmont Ave|41.93949|-87.66378
Clark St & Wellington Ave|41.93649682|-87.64753866
Lake Shore Dr & Wellington Ave|41.936669|-87.636794
Milwaukee Ave & Wabansia Ave|41.912616|-87.681391
Claremont Ave & Hirsch St|41.907781|-87.685854
Campbell Ave & North Ave|41.910535|-87.689556
Damen Ave & Wellington Ave|41.93588|-87.67842
Paulina St & Diversey Pkwy|41.93186|-87.67079
Franklin St & Lake St|41.885837|-87.6355
Clark St & Waveland Ave|41.94893|-87.65775
Ashland Ave & Wrightwood Ave|41.92883|-87.668507
Damen Ave & Coulter St|41.8492|-87.67564
Michigan Ave & 14th St|41.864059|-87.623727
Canal St & Harrison St|41.874337|-87.639566
Clinton St & 18th St|41.85795|-87.640826
May St & Cullerton St|41.855136|-87.654127
Mies van der Rohe Way & Chicago Ave|41.89691|-87.621743
Canal St & Madison St|41.882091|-87.639833
Wells St & Polk St|41.872373|-87.633523
Clark St & Elm St|41.903233|-87.631253
Theater on the Lake|41.926277|-87.630834
State St & 19th St|41.856594|-87.627542
Martin Luther King Dr & Oakwood Blvd|41.82256|-87.61615
LaSalle St & Illinois St|41.890749|-87.63206
Damen Ave & Augusta Blvd|41.899714|-87.677234
State St & 35th St|41.83104|-87.62688
Stave St & Armitage Ave|41.917741|-87.691392
Ogden Ave & Race Ave|41.891795|-87.658751
Greenview Ave & Fullerton Ave|41.92533|-87.6658
Southport Ave & Wrightwood Ave|41.92888|-87.66317
Canal St & Monroe St|41.8807|-87.63947
Canal St & Adams St|41.87923|-87.640015
State St & 29th St|41.841707|-87.626938
State St & Wacker Dr|41.887155|-87.62775
Columbus Dr & Randolph St|41.8853|-87.62077
Cityfront Plaza & N Water St|41.889875|-87.621994
Michigan Ave & Madison St|41.882134|-87.625125
Halsted St & Madison St|41.88175|-87.6478
Wabash Ave & Grand Ave|41.891738|-87.626937
King Dr & 47th St|41.809851|-87.616279
Indiana Ave & 40th St|41.82168|-87.6216
Halsted St & 18th St|41.857499|-87.646277
Western Ave & 21st St|41.85394|-87.685243
Prairie Ave & Garfield Blvd|41.7951|-87.61936
Paulina St & 18th St|41.857901|-87.668745
Halsted St & Archer Ave|41.847203|-87.646795
Emerald Ave & 28th St|41.84358|-87.645368
Ashland Ave & 21st St|41.85381|-87.665897
Normal Ave & Archer Ave|41.849527|-87.640591
Ashland Ave & Division St|41.903456|-87.66777
St Clair St & Erie St|41.894448|-87.622663
Wells St & Ohio St|41.892238|-87.633985
Leavitt St & North Ave|41.910652|-87.6824
Damen Ave & Grand Ave|41.89122|-87.67686
Damen Ave & Madison St|41.88137|-87.67493
California Ave & Division St|41.903029|-87.697474
May St & Fulton St|41.886773|-87.656001
Wells St & 19th St|41.856802|-87.633879
Damen Ave & Cortland Ave|41.916027|-87.677411
Hampden Ct & Diversey Pkwy|41.93262|-87.642385
Milwaukee Ave & Rockwell St|41.920195|-87.693033
Clifton Ave & Armitage Ave|41.918216|-87.656936
Halsted St & Willow St|41.913778|-87.64884
Halsted St & Dickens Ave|41.919936|-87.64883
Racine Ave & Belmont Ave|41.939743|-87.658865
Southport Ave & Waveland Ave|41.94815|-87.66394
Damen Ave & Melrose Ave|41.9406|-87.6785
Southport Ave & Roscoe St|41.943739|-87.66402
Lincoln Ave & Roscoe St|41.94334|-87.67097
Sheridan Rd & Montrose Ave|41.96167|-87.65464
Pine Grove Ave & Addison St|41.947836|-87.645416
Sangamon St & Washington Blvd|41.883004|-87.651148
Clark St & Montrose Ave|41.961588|-87.666036
Sedgwick St & Schiller St|41.907576|-87.638517
Martin Luther King Dr & 29th St|41.842052|-87.617
Ravenswood Ave & Montrose Ave|41.961626|-87.674101
Western Ave & Leland Ave|41.966555|-87.688487
Sheridan Rd & Irving Park Rd|41.95434|-87.654601
Morgan St & Polk St|41.871737|-87.65103
Damen Ave & Leland Ave|41.967094|-87.679028
Lincoln Ave & Leavitt St|41.962391|-87.684146
Ravenswood Ave & Irving Park Rd|41.95469|-87.67393
Clarendon Ave & Junior Ter|41.961004|-87.649603
Ashland Ave & Belle Plaine Ave|41.956061|-87.668869
Shore Drive & 55th St|41.795212|-87.580715
Woodlawn Ave & 55th St|41.795264|-87.596471
Montrose Harbor|41.963982|-87.638181
Ashland Ave & Wellington Ave|41.936083|-87.669807
Clarendon Ave & Leland Ave|41.967968|-87.650001
Greenwood Ave & 47th St|41.809835|-87.599383
Clifton Ave & Lawrence Ave|41.968873|-87.658857
Pine Grove Ave & Irving Park Rd|41.954383|-87.648043
Indiana Ave & Roosevelt Rd|41.867888|-87.623041
Broadway & Sheridan Rd|41.952833|-87.649993
