name|x|y
Barrington|42.152897|-88.132106
Fox River Grove|42.197519|-88.218863
Cary|42.209164|-88.241412
Crystal Lake|42.24415|-88.317061
McHenry|42.343296|-88.276147
Woodstock|42.316837|-88.447281
Harvard|42.419351|-88.61712
Healy|41.924855|-87.727912
Grayland|41.948521|-87.740123
Mayfair|41.960138|-87.746172
Forest Glen|41.979537|-87.756163
Edgebrook|41.997628|-87.765621
Morton Grove|42.03505|-87.784966
Golf|42.058326|-87.797154
Glenview|42.074618|-87.80557
North Glenview|42.09884|-87.816272
Northbrook|42.12763|-87.828137
Lake Cook Road|42.151649|-87.840991
Deerfield|42.168128|-87.849896
Lake Forest|42.223529|-87.874624
Libertyville|42.291083|-87.956445
Grayslake|42.333541|-88.043324
Round Lake|42.354564|-88.093929
Long Lake|42.367897|-88.128051
Ingleside|42.384144|-88.154981
Fox Lake|42.398302|-88.182072
O'Hare Transfer|41.995212|-87.880317
Prospect Heights|42.092911|-87.908064
Wheeling|42.136447|-87.927159
Buffalo Grove|42.168477|-87.941128
Prairie View|42.197976|-87.955579
Vernon Hills|42.215571|-87.964823
Mundelein|42.266707|-87.997696
Prairie Crossing (Libertyville)|42.318547|-88.017733
Round Lake Beach|42.384753|-88.065167
Lake Villa|42.417587|-88.079292
Antioch|42.480721|-88.092173
Ravenswood|41.968153|-87.674444
Rogers Park|42.009649|-87.675526
Main Street (Evanston)|42.033323|-87.680048
Davis Street (Evanston)|42.048064|-87.684822
Central Street (Evanston)|42.063987|-87.698101
Wilmette|42.077338|-87.709277
Kenilworth|42.086222|-87.716738
Indian Hill|42.094622|-87.723729
Winnetka|42.105289|-87.73259
Hubbard Woods|42.118184|-87.743441
Glencoe|42.135525|-87.758154
Braeside|42.152986|-87.772829
Ravinia Park|42.15761|-87.776694
Ravinia|42.16538|-87.783228
Highland Park|42.183513|-87.797713
Highwood|42.20242|-87.809998
Fort Sheridan|42.21742|-87.821148
Lake Bluff|42.279589|-87.846763
Great Lakes|42.308343|-87.846635
North Chicago|42.328924|-87.837043
Waukegan|42.360636|-87.827952
Zion|42.449513|-87.818129
Winthrop Harbor|42.482619|-87.816256
Kenosha|42.587319|-87.820907
Hammond|41.632059|-87.522373
East Chicago|41.61288|-87.481454
Gary Metro|41.605238|-87.338814
Miller|41.597983|-87.263497
Ogden Dunes|41.616492|-87.191491
Dune Park|41.6459|-87.057834
Gary/Chicago Airport|41.605217|-87.3948
Washington St|42.359631|-88.050457
Prairie Crossing/Libertyville|42.320902|-88.015117
Rosemont|41.975721|-87.873445
Schiller Park|41.963065|-87.868996
Belmont Ave|41.938561|-87.860289
Grand-Cicero|41.914435|-87.746534
New Lenox Laraway Road|41.483165|-87.959905
Joliet|41.52418|-88.079301
