name|x|y
Sheridan (Red Line)|41.953775|-87.654929
Dempster-Skokie  (Yellow Line)|42.038951|-87.751919
South Boulevard (Purple Line)|42.027612|-87.678329
Southport (Brown Line)|41.943744|-87.663619
Sox-35th (Red Line)|41.831191|-87.630636
State/Lake (Brown, Green, Orange, Pink & Purple Lines)|41.88574|-87.627835
Thorndale (Red Line)|41.990259|-87.659076
UIC-Halsted (Blue Line)|41.875474|-87.649707
Washington (Blue Line)|41.883164|-87.62944
Washington/Wells (Brown, Orange, Purple & Pink Lines)|41.882695|-87.63378
Wellington (Brown & Purple Lines)|41.936033|-87.653266
Western (Orange Line)|41.804546|-87.684019
Western (Pink Line)|41.854225|-87.685129
Western (Blue Line - Forest Park Branch)|41.875478|-87.688436
Western (Blue Line - O'Hare Branch)|41.916157|-87.687364
Western (Brown Line)|41.966163|-87.688502
Wilson (Red Line)|41.964273|-87.657588
