name|x|y
LIVEWIRE|41.94294083|-87.73039367
BRUDDER'S|41.94641594|-87.72754949
PHOENIX|41.96066903|-87.74767761
MARIA'S PACKAGED GOODS & COMMUNITY BAR|41.83809105|-87.65111735
EXCALIBUR CLUB|41.69264879|-87.61137737
ABBEY PUB|41.95031209|-87.7137859
COVE LOUNGE|41.79535815|-87.58198429
MAGNOLIA SPORTS BAR|41.67181818|-87.64156137
BOBBIE'S RUNAWAY|41.97803478|-87.67931763
SUPERIOR CLUB INC.|41.67590207|-87.64169805
THE HIDDEN COVE|41.97885403|-87.69278877
WALLY'S LOUNGE|41.93925007|-87.7034147
LEADWAY LIQUORS & CAFE|41.976989|-87.67928387
SUNNY SIDE TAP|41.96168558|-87.68884027
THE CLADDAGH RING PUB INC|41.97603265|-87.68703171
TOMMY'S ON HIGGINS|41.98016396|-87.80207994
Har-Hig Liquors Inc.|41.98117283|-87.80670113
HUETTEN BAR|41.96720314|-87.68748291
SCOT'S|41.96139|-87.6756702
PROOF|41.90216328|-87.62803535
TEASER'S PUB|41.9807262|-87.80571278
LOAFERS|41.96868081|-87.69386103
The Grafton Pub & Grill|41.96395323|-87.68566333
CARDINAL WINE & SPIRITS|41.97100172|-87.68990553
ST. PAULI'S BAR|41.97436947|-87.69199821
ERNIE'S TAP|41.98084226|-87.80519641
LAWREL LIQUORS|41.96799336|-87.74072635
SPYNERS PUB|41.96563194|-87.68866466
TIME OUT SPORTS BAR|41.96604802|-87.69358195
HANSA CLIPPER|41.96651774|-87.68700568
NORTHWOODS LOUNGE|41.97680539|-87.83676096
GIO'S SPORTS BAR|41.97042959|-87.67908666
240 CAFE & LOUNGE|41.96835707|-87.72757835
NEW TROY TAP|41.80986454|-87.70295736
9705 CORP|41.71754196|-87.64295867
RIFF|41.85174715|-87.62362776
MCKELLIN'S|42.01217318|-87.69984398
WINJAMMER MARINA|41.64637082|-87.56034196
MY PLACE|42.012354|-87.6867325
ANDY'S INC|41.78855346|-87.72317449
ALIBIS|41.99838203|-87.69005128
TED'S FIREWATER SALOON INC|41.78701297|-87.70351455
CONRAD'S PLACE|41.77432617|-87.72279816
STERCH'S|41.92269865|-87.64513294
RED COACH RESTAURANT|41.75912971|-87.74155365
LAWN MAGIC LOUNGE|41.76977201|-87.72267947
M & I LOUNGE|41.94534052|-87.79741589
STANLEY'S|41.81593298|-87.66529633
BROWN SUGAR LOUNGE|41.88120077|-87.69384383
K & H LOUNGE INC|41.94924586|-87.76701801
MUGS BUNNY|41.65176176|-87.54701265
BEACON TAP|41.65358701|-87.54606081
KEEPERS PUB|41.94581811|-87.78270834
6511 CLUB|41.77498817|-87.70289786
WENDOL'S|41.65262436|-87.54700705
Casual Tap|41.96048122|-87.77558191
AUGIE'S|41.92862499|-87.6716145
STEVE'S LOUNGE|41.65541665|-87.54729079
CORK LOUNGE|41.94701681|-87.67492511
MUG SHOTS|41.94530946|-87.82042719
THE WRIGHTWOOD TAP|41.92885861|-87.65603514
IRISH EYES|41.92775344|-87.65177531
OKOCIM BAR & GRILL|41.94536819|-87.7960435
Georgie's Tavern|41.65193233|-87.53731067
SECOND TIME AROUND|41.95199012|-87.8343079
P J'S BREWERY|41.95034769|-87.80732945
MR C'S MIDWAY BAR INC|41.77856974|-87.73961627
BG'S LOUNGE INC|41.94194407|-87.78635531
MULLEN'S BAR & GRILL|42.01418203|-87.69008399
MELKAP CORP|41.95303603|-87.78575582
AMERICAN ALE HOUSE|42.01941939|-87.68910151
DON VAL CORP|41.95203024|-87.83270217
SIX PENNY B P|41.9605272|-87.77219443
RITCHIE'S|41.78652677|-87.69311456
O'MALLEY'S PUB|41.9384847|-87.80661665
CLUB BELMONT INC|41.93791461|-87.82319955
OLD TIME TAP INC.|41.64995017|-87.54578184
SOUTH SHORE INN|41.64802852|-87.54513056
THE CABARET CORP|41.9602065|-87.77952196
AS TIME GOES BY II LTD.|41.93799415|-87.81928312
